sim_id,n_participants,decision_0_10s,decision_10_20s,decision_20_60s,h2_supported,overall_decision,hdi_0_10s_lower,hdi_0_10s_upper,hdi_10_20s_lower,hdi_10_20s_upper,hdi_20_60s_lower,hdi_20_60s_upper,mean_0_10s,mean_10_20s,mean_20_60s
32,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2889559212905086,0.3930855068064274,0.06516971903915492,0.16838774674963972,-0.04736785610996158,0.05822693258598216,0.339243727562688,0.112869325016047,0.0048505020225035455
33,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.27504872695495425,0.3775313159056609,0.07057021867148511,0.16945063690018672,-0.03361490391853328,0.07093823512709935,0.3263607890953155,0.1213266355911898,0.02121916438381652
34,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.31514138627668464,0.41325877342597683,0.09543827863260596,0.19666958550894192,-0.016839873581141696,0.08242202131218951,0.36286159198241785,0.14680322049960143,0.03350311838969759
35,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2813034308627078,0.38131808730975114,0.09150539423369686,0.19518396426971754,-0.006488166927152483,0.09784760420756441,0.3317153616516126,0.1409907922510553,0.043302163146515776
36,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.26241197279280487,0.36282090421656715,0.11181587854404668,0.20951325527218695,-0.03925342157927009,0.056833229442136424,0.3104676385645783,0.16383747619046665,0.009892956135797718
37,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.3045371266173806,0.4055991327835886,0.10814166990920127,0.2110205000434086,-0.014912536358009432,0.09119308124205744,0.3577490834803492,0.15755006337660385,0.03503085675269469
38,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2542419330964118,0.3543159058374812,0.07666507576177939,0.17781367272080006,-0.05474434095254971,0.04827841700385638,0.30186272662205055,0.12559347151823672,-7.242875947215688e-4
39,60,PRESENT,UNDECIDED,UNDECIDED,FALSE,UNDECIDED,0.3226594686843312,0.4154257213768292,0.09655118126223061,0.1926460821137264,-0.11634925371963345,-0.015202618575039684,0.3689762038973653,0.14557627704816956,-0.06725159145792159
39,90,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.30456841711946364,0.3827511335301468,0.0815207059726063,0.16508453631281753,-0.0994139403040723,-0.016804510479178247,0.34716922637153363,0.12620281557975385,-0.05963377376446761
40,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.2495273831473593,0.34836686849161647,0.14560312441018386,0.24479847677213398,-0.061188247458777656,0.039540545508706504,0.30175350463366823,0.19375914344239512,-0.009154462064663367
41,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.23725306200103907,0.34204590793453993,0.12429596844549179,0.2305086337114726,-0.0572366562969982,0.044806485529243406,0.28858899421249484,0.1768799324419879,-0.009195290986679717
42,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.36587409784058417,0.46606788619285877,0.09743730645958398,0.20558832596528423,-0.045153696205321725,0.05800160481571892,0.4133729212376786,0.14920232216707055,0.0029744869988532407
43,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.33633851760180605,0.4395786261340671,0.08750354357330015,0.18926768137497801,-0.08864693856626954,0.019699224748364608,0.38771580202560796,0.1375458609844963,-0.03367397970994192
44,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.30454468536587237,0.4078929676947122,0.13863718288947235,0.23396467023239173,-0.08217066376267212,0.016974585858568647,0.35546154277398584,0.18536424905796098,-0.03158876812841077
45,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.3069229533377636,0.40788114129355146,0.08574977127406874,0.1870293113259394,-0.02289136768771588,0.08030494163183399,0.3586641962049281,0.1382659803355728,0.028880585951995216
46,60,PRESENT,PRESENT,UNDECIDED,FALSE,UNDECIDED,0.3247415808241381,0.4280523672038488,0.13455148686208968,0.23446916978431934,-0.11599648756418462,-0.017933608342510732,0.37916475725054394,0.18302870122209772,-0.06369172757421929
46,90,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.3285493012361459,0.4107401051313683,0.12184131208272098,0.2057834597452849,-0.09006727080130073,-0.0053551779360148655,0.3688504021090256,0.1639192236638952,-0.049264984293117924
47,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.29875392663100186,0.401180913822635,0.09169545659909062,0.19382190492460422,-0.04647855780503102,0.05626403676536229,0.34868067523980306,0.1422902086676375,0.009738709201116783
48,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.2719314785661268,0.37434101328118335,0.06460232888466633,0.1674161595325833,-0.06797447932669293,0.03134168212552174,0.32365836865220904,0.11511655081838969,-0.01711807978856931
49,60,PRESENT,UNDECIDED,ABSENT,TRUE,DECIDED,0.33075553989847956,0.42824342004582,0.09654810662488839,0.1939866874225139,-0.0681787578097538,0.03321572632836961,0.37809657452731693,0.1468629110742945,-0.01575500014457122
50,60,PRESENT,PRESENT,ABSENT,TRUE,DECIDED,0.3331629847467432,0.431180442735167,0.1322556347125163,0.22970503344989462,-0.05956430890621567,0.04243640766342044,0.38219504201466914,0.17821597486023394,-0.007455099490697277
